Country,Year,Attack_ID,Target Industry,Financial Loss in Million  Doller,  Number of Affected Users  ,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2024,ML345,Government,1.17 ," 2,81,616 ",Nation-state,Unpatched Software,Encryption,6
USA,2022,DD678,IT,74.59 ," 2,81,698 ",Insider,Social Engineering,Encryption,18
China,2016,DD678,Telecommunications,83.02 ," 2,81,862 ",Insider,Social Engineering,AI-based Detection,4
Russia,2021,DD678,Banking,94.48 ,"  2,81,900  ",Hacker Group,Zero-day,Antivirus,1
UK,2015,RWS34,Government,52.78 ," 2,81,905 ",Insider,Social Engineering,VPN,32
India,2018,PH01,IT,69.03 ,"  2,82,139  ",Hacker Group,Unpatched Software,Encryption,37
France,2015,PH01,IT,49.84 ," 2,82,583 ",Unknown,Weak Passwords,VPN,15
Russia,2015,ML345,IT,95.33 ," 2,82,598 ",Unknown,Zero-day,VPN,21
USA,2021,RWS34,Government,72.24 ,"  2,83,947  ",Hacker Group,Unpatched Software,AI-based Detection,72
UK,2015,ML345,Government,68.80 ," 2,84,512 ",Nation-state,Social Engineering,Antivirus,23
China,2021,MIM65,Retail,49.59 ," 2,84,823 ",Unknown,Social Engineering,Antivirus,50
Germany,2017,MIM65,Retail,98.24 ," 2,85,201 ",Unknown,Social Engineering,Antivirus,25
Australia,2016,PH01,Banking,92.79 ," 2,85,311 ",Nation-state,Unpatched Software,VPN,55
Australia,2023,DD678,IT,99.62 ," 2,85,609 ",Unknown,Weak Passwords,Firewall,46
Australia,2019,MIM65,Banking,27.00 ," 2,86,038 ",Nation-state,Social Engineering,Encryption,43
Japan,2017,PH01,IT,65.62 ,"  2,86,208  ",Hacker Group,Zero-day,Firewall,57
Australia,2018,SI657,Retail,51.46 ," 2,87,089 ",Nation-state,Weak Passwords,Encryption,8
India,2020,ML345,Education,20.14 ," 2,87,352 ",Unknown,Zero-day,Firewall,69
Russia,2016,SI657,Government,52.59 ,"  2,87,446  ",Hacker Group,Unpatched Software,Encryption,56
Brazil,2017,MIM65,Education,67.55 ," 2,87,646 ",Nation-state,Social Engineering,VPN,68
Germany,2017,PH01,Healthcare,53.57 ," 2,87,762 ",Insider,Weak Passwords,Encryption,13
France,2015,PH01,Banking,83.27 ,"  2,88,526  ",Hacker Group,Unpatched Software,Encryption,66
Germany,2023,MIM65,Banking,80.97 ," 2,89,046 ",Nation-state,Zero-day,Encryption,41
India,2019,PH01,Banking,18.42 ," 2,89,539 ",Nation-state,Unpatched Software,Antivirus,27
Australia,2017,PH01,Healthcare,39.30 ," 2,90,846 ",Unknown,Weak Passwords,Firewall,3
Germany,2023,PH01,Retail,87.55 ," 2,91,580 ",Unknown,Unpatched Software,Firewall,25
Brazil,2022,ML345,IT,4.08 ,"  2,91,590  ",Hacker Group,Zero-day,Antivirus,22
USA,2015,PH01,Education,41.36 ," 2,91,727 ",Insider,Social Engineering,Encryption,31
Australia,2021,DD678,Government,30.24 ," 2,92,383 ",Insider,Social Engineering,Encryption,71
Germany,2021,MIM65,Banking,14.45 ," 2,92,854 ",Nation-state,Unpatched Software,AI-based Detection,14
Russia,2021,MIM65,Banking,18.66 ," 2,92,992 ",Insider,Zero-day,Encryption,15
Australia,2019,SI657,Telecommunications,86.79 ," 2,93,647 ",Nation-state,Social Engineering,AI-based Detection,37
India,2018,ML345,Healthcare,66.96 ," 2,94,133 ",Insider,Social Engineering,VPN,20
UK,2020,MIM65,Telecommunications,63.35 ," 2,94,447 ",Unknown,Zero-day,AI-based Detection,54
India,2016,ML345,IT,34.78 ," 2,94,587 ",Unknown,Social Engineering,AI-based Detection,43
Brazil,2020,ML345,Government,50.61 ," 2,94,668 ",Nation-state,Social Engineering,Encryption,17
Germany,2022,SI657,IT,68.63 ," 2,94,981 ",Unknown,Zero-day,AI-based Detection,3
Japan,2017,SI657,Banking,18.01 ," 2,95,917 ",Unknown,Weak Passwords,VPN,57
China,2019,RWS34,Retail,62.19 ,"  2,95,961  ",Hacker Group,Unpatched Software,Firewall,71
France,2023,RWS34,IT,87.45 ," 2,96,050 ",Insider,Weak Passwords,VPN,30
USA,2015,RWS34,Telecommunications,20.73 ," 2,97,209 ",Nation-state,Social Engineering,Firewall,66
Australia,2024,PH01,Telecommunications,42.28 ," 2,97,456 ",Nation-state,Zero-day,VPN,20
China,2022,SI657,Banking,1.16 ,"  2,97,461  ",Hacker Group,Zero-day,Firewall,15
Australia,2015,DD678,Education,51.54 ," 2,97,721 ",Nation-state,Weak Passwords,Antivirus,29
France,2019,PH01,Retail,3.00 ," 2,98,096 ",Unknown,Social Engineering,Firewall,16
USA,2024,DD678,Telecommunications,15.53 ,"  2,98,385  ",Hacker Group,Unpatched Software,AI-based Detection,11
Brazil,2021,ML345,Education,74.37 ,"  2,98,836  ",Hacker Group,Social Engineering,Encryption,29
USA,2022,MIM65,Retail,75.51 ," 2,98,887 ",Nation-state,Zero-day,VPN,44
UK,2022,PH01,Government,61.87 ," 2,98,941 ",Unknown,Zero-day,Antivirus,13
Russia,2019,SI657,Telecommunications,10.88 ," 2,99,403 ",Unknown,Unpatched Software,Antivirus,23
Australia,2024,MIM65,Healthcare,65.72 ,"  2,99,613  ",Hacker Group,Zero-day,Firewall,20
Australia,2022,DD678,Telecommunications,46.20 ," 2,99,968 ",Insider,Zero-day,Antivirus,46
China,2018,RWS34,Telecommunications,58.28 ," 3,00,898 ",Nation-state,Unpatched Software,Encryption,18
Germany,2024,RWS34,Government,40.36 ," 3,01,972 ",Unknown,Weak Passwords,VPN,33
France,2021,MIM65,Healthcare,53.77 ," 3,02,180 ",Insider,Weak Passwords,AI-based Detection,11
China,2019,ML345,Retail,26.66 ," 3,03,469 ",Insider,Social Engineering,VPN,60
UK,2022,MIM65,IT,66.25 ," 3,03,838 ",Nation-state,Zero-day,AI-based Detection,56
China,2015,DD678,Government,22.71 ," 3,03,975 ",Nation-state,Social Engineering,Firewall,2
India,2018,DD678,Healthcare,76.43 ,"  3,04,162  ",Hacker Group,Unpatched Software,Firewall,56
France,2019,SI657,Government,85.13 ," 3,04,257 ",Nation-state,Weak Passwords,Antivirus,20
Japan,2016,SI657,Telecommunications,63.77 ," 3,04,618 ",Unknown,Unpatched Software,Antivirus,54
China,2021,RWS34,Education,21.90 ,"  3,04,804  ",Hacker Group,Weak Passwords,AI-based Detection,53
Australia,2023,PH01,Government,91.02 ,"  3,05,005  ",Hacker Group,Zero-day,Firewall,71
Japan,2022,DD678,Telecommunications,34.31 ," 3,05,329 ",Unknown,Unpatched Software,Firewall,40
Australia,2022,RWS34,Government,84.51 ," 3,05,494 ",Insider,Social Engineering,Firewall,19
France,2017,DD678,Telecommunications,79.93 ," 3,05,905 ",Unknown,Unpatched Software,Encryption,44
USA,2015,DD678,Banking,98.39 ," 3,06,320 ",Insider,Unpatched Software,AI-based Detection,41
Germany,2020,RWS34,IT,65.20 ," 3,06,799 ",Unknown,Zero-day,Encryption,61
Australia,2023,ML345,Retail,99.72 ,"  3,07,143  ",Hacker Group,Social Engineering,VPN,1
France,2023,MIM65,Education,87.39 ," 3,07,155 ",Unknown,Unpatched Software,Antivirus,28
Brazil,2023,PH01,Retail,42.69 ," 3,09,021 ",Unknown,Unpatched Software,Encryption,2
Russia,2018,ML345,Government,59.01 ,"  3,09,230  ",Hacker Group,Social Engineering,Encryption,61
France,2017,PH01,IT,55.90 ," 3,09,259 ",Insider,Zero-day,AI-based Detection,3
France,2020,PH01,Retail,14.45 ," 3,09,967 ",Unknown,Zero-day,Firewall,26
India,2022,SI657,Banking,27.86 ," 3,10,150 ",Unknown,Unpatched Software,AI-based Detection,21
France,2022,MIM65,IT,78.23 ,"  3,10,175  ",Hacker Group,Unpatched Software,AI-based Detection,53
Australia,2022,SI657,Retail,56.62 ," 3,10,341 ",Unknown,Weak Passwords,Encryption,32
China,2015,PH01,Government,42.73 ," 3,10,574 ",Nation-state,Zero-day,Firewall,65
Russia,2023,DD678,Healthcare,46.20 ,"  3,10,868  ",Hacker Group,Weak Passwords,Antivirus,10
China,2018,RWS34,IT,43.73 ," 3,11,165 ",Unknown,Social Engineering,AI-based Detection,34
Germany,2015,MIM65,Retail,63.65 ," 3,11,253 ",Nation-state,Weak Passwords,AI-based Detection,36
Japan,2021,DD678,Banking,32.84 ,"  3,11,274  ",Hacker Group,Zero-day,Encryption,67
USA,2023,DD678,Education,90.38 ," 3,11,596 ",Insider,Weak Passwords,VPN,23
China,2024,PH01,Retail,11.72 ," 3,11,675 ",Unknown,Weak Passwords,Firewall,18
Brazil,2019,MIM65,Government,76.39 ," 3,11,908 ",Unknown,Weak Passwords,Encryption,68
UK,2015,PH01,Telecommunications,21.80 ," 3,12,051 ",Nation-state,Unpatched Software,VPN,41
France,2019,ML345,Education,31.35 ," 3,12,314 ",Unknown,Social Engineering,AI-based Detection,35
India,2023,RWS34,Healthcare,18.26 ," 3,12,340 ",Nation-state,Zero-day,VPN,35
Brazil,2023,DD678,IT,45.97 ," 3,12,555 ",Nation-state,Social Engineering,AI-based Detection,67
USA,2024,SI657,Banking,7.20 ,"  3,12,607  ",Hacker Group,Weak Passwords,Antivirus,24
China,2015,RWS34,Telecommunications,32.65 ," 3,13,384 ",Insider,Social Engineering,Antivirus,51
Germany,2024,MIM65,Education,26.58 ,"  3,13,397  ",Hacker Group,Social Engineering,AI-based Detection,36
Russia,2017,MIM65,Education,83.43 ," 3,13,631 ",Nation-state,Weak Passwords,Antivirus,16
France,2024,PH01,Banking,26.29 ,"  3,14,347  ",Hacker Group,Unpatched Software,Antivirus,28
USA,2020,SI657,Retail,16.98 ," 3,15,050 ",Unknown,Unpatched Software,Encryption,8
Russia,2023,DD678,Banking,78.71 ," 3,15,219 ",Unknown,Social Engineering,Antivirus,30
USA,2021,DD678,Education,87.32 ," 3,15,915 ",Nation-state,Social Engineering,Antivirus,52
Japan,2017,DD678,Healthcare,90.38 ,"  3,16,136  ",Hacker Group,Zero-day,VPN,22
France,2016,RWS34,IT,29.35 ," 3,16,228 ",Unknown,Unpatched Software,VPN,7
Germany,2018,MIM65,Banking,81.46 ," 3,16,299 ",Insider,Social Engineering,Firewall,66
Brazil,2018,PH01,Banking,98.75 ,"  3,16,891  ",Hacker Group,Social Engineering,Antivirus,55
India,2023,PH01,Education,9.95 ," 3,17,488 ",Insider,Social Engineering,VPN,46
China,2023,ML345,Education,23.74 ," 3,17,922 ",Insider,Social Engineering,Antivirus,18
Australia,2017,PH01,Education,82.47 ," 3,17,988 ",Nation-state,Zero-day,Encryption,2
Germany,2020,PH01,Government,40.62 ," 3,18,648 ",Insider,Zero-day,Encryption,1
Japan,2017,PH01,IT,5.14 ,"  3,19,868  ",Hacker Group,Unpatched Software,VPN,52
Japan,2023,ML345,IT,23.16 ," 3,20,277 ",Unknown,Weak Passwords,Encryption,69
India,2024,MIM65,Government,62.06 ," 3,21,158 ",Insider,Zero-day,VPN,37
Russia,2018,MIM65,Government,45.91 ," 3,22,132 ",Nation-state,Weak Passwords,Encryption,44
Brazil,2024,RWS34,Retail,68.95 ,"  3,22,146  ",Hacker Group,Social Engineering,Encryption,70
Japan,2018,SI657,IT,48.91 ," 3,22,255 ",Nation-state,Zero-day,AI-based Detection,41
Brazil,2018,DD678,Telecommunications,82.05 ," 3,22,527 ",Nation-state,Weak Passwords,Firewall,46
USA,2022,RWS34,Banking,34.58 ," 3,22,611 ",Unknown,Unpatched Software,VPN,16
Germany,2015,DD678,Retail,7.84 ," 3,23,011 ",Nation-state,Social Engineering,Encryption,25
Germany,2018,MIM65,IT,48.96 ," 3,23,027 ",Unknown,Unpatched Software,Encryption,49
Germany,2017,ML345,Telecommunications,94.87 ," 3,24,790 ",Insider,Zero-day,VPN,42
India,2020,DD678,Healthcare,16.65 ," 3,24,899 ",Insider,Unpatched Software,Firewall,57
France,2022,ML345,Healthcare,67.89 ,"  3,25,521  ",Hacker Group,Social Engineering,VPN,69
Russia,2024,DD678,Education,19.50 ," 3,25,634 ",Insider,Weak Passwords,Firewall,5
UK,2019,MIM65,Government,23.93 ," 3,25,827 ",Nation-state,Zero-day,Antivirus,39
Russia,2016,DD678,Healthcare,90.94 ," 3,26,955 ",Nation-state,Zero-day,VPN,21
USA,2015,DD678,Government,41.75 ," 3,27,171 ",Unknown,Unpatched Software,VPN,41
Russia,2018,RWS34,Healthcare,24.06 ," 3,27,566 ",Unknown,Unpatched Software,AI-based Detection,6
USA,2018,DD678,Banking,10.01 ,"  3,27,826  ",Hacker Group,Social Engineering,AI-based Detection,35
China,2021,SI657,Healthcare,57.20 ," 3,28,454 ",Nation-state,Zero-day,VPN,10
UK,2016,RWS34,Retail,32.16 ," 3,29,026 ",Nation-state,Weak Passwords,VPN,31
China,2021,SI657,IT,97.06 ," 3,29,378 ",Nation-state,Weak Passwords,VPN,61
Russia,2017,RWS34,Telecommunications,65.18 ," 3,29,972 ",Nation-state,Unpatched Software,Firewall,48
India,2024,ML345,Healthcare,13.74 ," 3,30,581 ",Unknown,Zero-day,AI-based Detection,54
China,2022,ML345,Education,60.90 ," 3,31,234 ",Unknown,Social Engineering,Antivirus,3
France,2016,ML345,IT,81.81 ,"  3,31,741  ",Hacker Group,Social Engineering,Antivirus,29
France,2017,RWS34,Healthcare,88.79 ," 3,32,214 ",Nation-state,Social Engineering,Antivirus,16
USA,2020,PH01,Banking,74.51 ,"  3,32,766  ",Hacker Group,Weak Passwords,Antivirus,53
USA,2018,PH01,Government,38.83 ,"  3,33,027  ",Hacker Group,Zero-day,VPN,19
Japan,2021,ML345,Retail,30.53 ,"  3,33,238  ",Hacker Group,Social Engineering,Firewall,20
India,2022,DD678,IT,38.69 ," 3,33,967 ",Insider,Zero-day,Firewall,26
Russia,2021,DD678,Healthcare,11.38 ," 3,34,528 ",Insider,Weak Passwords,VPN,5
Germany,2021,ML345,Government,88.01 ," 3,34,748 ",Unknown,Zero-day,Encryption,5
Brazil,2021,ML345,Government,79.56 ," 3,34,916 ",Nation-state,Weak Passwords,Firewall,35
Brazil,2018,ML345,Banking,17.52 ," 3,34,945 ",Nation-state,Weak Passwords,Antivirus,33
Russia,2018,DD678,Healthcare,67.27 ,"  3,35,628  ",Hacker Group,Weak Passwords,Antivirus,20
China,2023,SI657,Telecommunications,66.92 ,"  3,36,320  ",Hacker Group,Social Engineering,VPN,51
France,2024,SI657,Telecommunications,48.77 ,"  3,36,356  ",Hacker Group,Unpatched Software,Encryption,2
UK,2016,DD678,Banking,87.68 ," 3,36,376 ",Nation-state,Social Engineering,Firewall,11
Japan,2018,RWS34,Education,82.89 ," 3,36,607 ",Unknown,Zero-day,AI-based Detection,17
Australia,2015,MIM65,Healthcare,1.62 ,"  3,36,650  ",Hacker Group,Zero-day,VPN,35
UK,2022,ML345,Healthcare,91.65 ," 3,37,120 ",Insider,Weak Passwords,Firewall,59
UK,2022,ML345,Retail,39.55 ," 3,37,363 ",Insider,Social Engineering,VPN,2
India,2023,PH01,IT,88.71 ,"  3,37,377  ",Hacker Group,Social Engineering,AI-based Detection,23
Germany,2024,DD678,Telecommunications,67.47 ," 3,37,890 ",Unknown,Weak Passwords,Antivirus,35
China,2022,PH01,Retail,33.69 ," 3,38,578 ",Unknown,Social Engineering,AI-based Detection,38
France,2018,PH01,Government,30.68 ,"  3,38,619  ",Hacker Group,Unpatched Software,Antivirus,68
China,2020,MIM65,Retail,48.24 ," 3,38,732 ",Nation-state,Unpatched Software,Firewall,15
Russia,2023,ML345,Telecommunications,95.00 ," 3,38,867 ",Nation-state,Unpatched Software,AI-based Detection,34
France,2018,ML345,Retail,80.37 ," 3,39,119 ",Unknown,Unpatched Software,Encryption,29
UK,2023,DD678,Government,55.28 ,"  3,39,144  ",Hacker Group,Unpatched Software,VPN,26
Germany,2023,PH01,Banking,39.53 ," 3,39,645 ",Unknown,Weak Passwords,AI-based Detection,2
India,2016,RWS34,Banking,93.74 ," 3,39,815 ",Insider,Weak Passwords,Firewall,58
China,2021,DD678,Healthcare,38.67 ," 3,40,194 ",Unknown,Weak Passwords,VPN,44
India,2016,RWS34,IT,43.65 ," 3,40,213 ",Nation-state,Zero-day,Antivirus,15
India,2020,PH01,Government,85.73 ," 3,40,643 ",Unknown,Zero-day,Firewall,72
India,2017,RWS34,Retail,69.91 ," 3,40,928 ",Unknown,Social Engineering,Antivirus,61
China,2019,PH01,Banking,49.14 ," 3,41,100 ",Insider,Social Engineering,Firewall,37
Australia,2023,SI657,Telecommunications,20.95 ," 3,41,111 ",Insider,Weak Passwords,VPN,14
USA,2018,SI657,Banking,63.80 ," 3,41,383 ",Nation-state,Weak Passwords,Antivirus,9
France,2017,ML345,Education,3.21 ," 3,42,049 ",Nation-state,Unpatched Software,AI-based Detection,31
Brazil,2020,DD678,Retail,17.40 ," 3,42,253 ",Unknown,Weak Passwords,Encryption,22
India,2024,DD678,Retail,35.47 ," 3,42,575 ",Insider,Social Engineering,Firewall,49
Australia,2021,DD678,Retail,20.39 ," 3,42,951 ",Nation-state,Zero-day,Antivirus,72
France,2015,SI657,Government,12.92 ," 3,44,516 ",Insider,Zero-day,VPN,28
Japan,2018,PH01,Education,34.06 ," 3,44,674 ",Unknown,Weak Passwords,Antivirus,19
India,2019,PH01,Education,6.29 ,"  3,44,693  ",Hacker Group,Social Engineering,Encryption,19
Japan,2017,DD678,Healthcare,54.41 ,"  3,44,772  ",Hacker Group,Unpatched Software,AI-based Detection,5
Japan,2015,SI657,Banking,20.69 ," 3,44,789 ",Unknown,Zero-day,AI-based Detection,69
Japan,2020,PH01,Education,54.47 ,"  3,45,334  ",Hacker Group,Weak Passwords,Antivirus,25
Brazil,2022,PH01,Education,80.99 ," 3,45,577 ",Insider,Unpatched Software,Encryption,4
Russia,2020,RWS34,Telecommunications,58.73 ," 3,45,623 ",Unknown,Weak Passwords,AI-based Detection,67
UK,2015,RWS34,Banking,13.49 ,"  3,45,825  ",Hacker Group,Zero-day,AI-based Detection,6
Australia,2022,MIM65,Banking,34.16 ," 3,46,224 ",Nation-state,Zero-day,Encryption,64
China,2022,DD678,Government,80.76 ," 3,46,279 ",Unknown,Zero-day,Encryption,59
China,2017,ML345,IT,18.17 ,"  3,46,390  ",Hacker Group,Weak Passwords,Firewall,36
Japan,2022,RWS34,IT,73.10 ," 3,46,939 ",Insider,Weak Passwords,VPN,21
USA,2016,SI657,Education,16.50 ," 3,47,293 ",Nation-state,Unpatched Software,Firewall,65
UK,2021,ML345,Telecommunications,77.18 ,"  3,47,426  ",Hacker Group,Zero-day,Antivirus,36
Germany,2018,ML345,Banking,63.81 ,"  3,47,441  ",Hacker Group,Social Engineering,Firewall,58
Russia,2021,SI657,Government,66.50 ,"  3,48,118  ",Hacker Group,Zero-day,VPN,42
France,2024,RWS34,Retail,99.03 ," 3,49,008 ",Nation-state,Zero-day,Encryption,20
France,2017,SI657,Education,81.06 ," 3,49,070 ",Unknown,Zero-day,VPN,41
Australia,2023,MIM65,Retail,93.25 ," 3,49,335 ",Nation-state,Zero-day,Firewall,27
Brazil,2020,SI657,Education,50.41 ," 3,50,295 ",Insider,Unpatched Software,Encryption,5
Russia,2022,SI657,Retail,6.61 ," 3,51,048 ",Insider,Unpatched Software,VPN,57
Russia,2018,SI657,Education,1.25 ," 3,51,063 ",Nation-state,Weak Passwords,Firewall,56
France,2016,DD678,Government,82.49 ," 3,51,330 ",Nation-state,Weak Passwords,VPN,57
Brazil,2023,SI657,Education,89.04 ,"  3,51,850  ",Hacker Group,Social Engineering,Encryption,21
India,2023,RWS34,Education,41.15 ," 3,52,194 ",Nation-state,Unpatched Software,Firewall,10
India,2017,DD678,Government,75.52 ," 3,52,250 ",Insider,Zero-day,VPN,39
USA,2022,RWS34,Education,14.50 ," 3,53,297 ",Insider,Weak Passwords,VPN,58
Japan,2024,ML345,Retail,56.90 ," 3,53,887 ",Unknown,Weak Passwords,Antivirus,59
UK,2019,RWS34,Retail,63.45 ," 3,54,024 ",Unknown,Weak Passwords,AI-based Detection,33
UK,2020,SI657,Retail,69.91 ," 3,54,637 ",Insider,Social Engineering,VPN,63
Russia,2022,SI657,IT,2.10 ," 3,54,694 ",Insider,Weak Passwords,Encryption,18
Russia,2019,RWS34,IT,60.24 ,"  3,54,784  ",Hacker Group,Social Engineering,AI-based Detection,65
France,2024,PH01,Retail,98.95 ," 3,54,954 ",Nation-state,Social Engineering,AI-based Detection,14
Brazil,2015,PH01,Retail,19.93 ,"  3,55,008  ",Hacker Group,Unpatched Software,Antivirus,31
France,2018,RWS34,Banking,27.78 ," 3,55,077 ",Nation-state,Unpatched Software,VPN,65
UK,2018,RWS34,Telecommunications,99.41 ,"  3,55,256  ",Hacker Group,Unpatched Software,Firewall,51
Russia,2020,PH01,Banking,98.38 ," 3,55,505 ",Nation-state,Unpatched Software,AI-based Detection,35
China,2022,PH01,Retail,51.76 ," 3,55,545 ",Unknown,Weak Passwords,Encryption,68
India,2023,SI657,Government,40.63 ," 3,56,387 ",Nation-state,Zero-day,Antivirus,11
Russia,2023,DD678,IT,22.71 ," 3,56,964 ",Insider,Unpatched Software,Firewall,27
France,2021,MIM65,Retail,94.40 ," 3,57,092 ",Unknown,Unpatched Software,VPN,71
India,2015,MIM65,Healthcare,37.15 ," 3,57,124 ",Nation-state,Weak Passwords,Antivirus,31
Australia,2021,ML345,Healthcare,74.61 ," 3,57,205 ",Nation-state,Weak Passwords,Antivirus,21
India,2021,ML345,Education,65.87 ," 3,57,399 ",Nation-state,Zero-day,Encryption,2
France,2023,MIM65,Telecommunications,99.71 ,"  3,57,542  ",Hacker Group,Zero-day,Antivirus,21
India,2022,MIM65,Government,4.05 ,"  3,57,898  ",Hacker Group,Social Engineering,Firewall,27
India,2015,MIM65,Telecommunications,48.58 ," 3,58,210 ",Nation-state,Zero-day,AI-based Detection,11
India,2019,ML345,Banking,37.03 ," 3,58,371 ",Insider,Weak Passwords,AI-based Detection,30
Russia,2023,SI657,Telecommunications,79.71 ," 3,58,439 ",Insider,Unpatched Software,Antivirus,48
Japan,2019,RWS34,Government,81.97 ,"  3,58,572  ",Hacker Group,Weak Passwords,VPN,48
Japan,2024,MIM65,IT,63.57 ," 3,58,626 ",Unknown,Weak Passwords,VPN,26
Germany,2023,ML345,Government,69.39 ," 3,58,933 ",Nation-state,Zero-day,Antivirus,3
Russia,2018,DD678,Retail,64.39 ," 3,59,124 ",Insider,Unpatched Software,AI-based Detection,13
Russia,2022,PH01,Telecommunications,56.44 ," 3,59,577 ",Unknown,Zero-day,Encryption,38
Germany,2019,ML345,Retail,6.47 ," 3,60,381 ",Unknown,Zero-day,VPN,62
Japan,2023,ML345,Retail,51.91 ,"  3,60,524  ",Hacker Group,Unpatched Software,Firewall,47
France,2023,SI657,Banking,48.10 ," 3,60,752 ",Unknown,Zero-day,Antivirus,21
France,2016,DD678,Education,46.58 ,"  3,61,163  ",Hacker Group,Zero-day,Firewall,38
UK,2021,PH01,IT,89.59 ," 3,61,270 ",Nation-state,Weak Passwords,VPN,31
UK,2022,ML345,Telecommunications,38.76 ," 3,61,529 ",Nation-state,Social Engineering,Firewall,67
Germany,2021,MIM65,Banking,37.69 ,"  3,61,849  ",Hacker Group,Zero-day,Firewall,63
USA,2017,ML345,Telecommunications,81.19 ," 3,62,085 ",Insider,Weak Passwords,VPN,5
Australia,2023,ML345,Education,67.23 ," 3,62,308 ",Unknown,Social Engineering,AI-based Detection,5
USA,2017,PH01,IT,7.95 ,"  3,62,478  ",Hacker Group,Zero-day,Encryption,67
Russia,2024,SI657,Education,99.31 ," 3,62,492 ",Insider,Weak Passwords,AI-based Detection,63
France,2020,DD678,IT,52.09 ," 3,62,499 ",Insider,Unpatched Software,Encryption,4
Germany,2019,SI657,Government,56.53 ," 3,62,642 ",Unknown,Social Engineering,Encryption,19
Australia,2022,ML345,Telecommunications,32.60 ," 3,63,166 ",Unknown,Unpatched Software,Antivirus,38
Australia,2018,SI657,Banking,20.28 ," 3,63,414 ",Insider,Unpatched Software,Antivirus,59
USA,2018,ML345,Government,70.53 ,"  3,63,432  ",Hacker Group,Zero-day,AI-based Detection,40
Russia,2024,DD678,Telecommunications,55.05 ," 3,63,906 ",Insider,Weak Passwords,Antivirus,31
China,2018,PH01,Healthcare,20.22 ," 3,63,934 ",Insider,Weak Passwords,Firewall,24
Japan,2017,SI657,Education,11.49 ,"  3,64,107  ",Hacker Group,Social Engineering,AI-based Detection,28
USA,2015,DD678,IT,66.39 ," 3,65,006 ",Insider,Weak Passwords,VPN,47
UK,2016,RWS34,Telecommunications,11.83 ,"  3,65,116  ",Hacker Group,Social Engineering,Encryption,66
USA,2015,RWS34,Government,13.92 ,"  3,66,147  ",Hacker Group,Weak Passwords,VPN,38
Australia,2019,MIM65,Retail,60.04 ," 3,66,318 ",Nation-state,Unpatched Software,VPN,35
France,2022,PH01,Banking,69.99 ," 3,66,596 ",Insider,Weak Passwords,AI-based Detection,65
Brazil,2022,DD678,Education,17.68 ," 3,66,968 ",Nation-state,Social Engineering,VPN,47
China,2023,RWS34,IT,23.18 ," 3,67,503 ",Nation-state,Weak Passwords,Encryption,17
Russia,2019,ML345,Retail,11.57 ," 3,67,712 ",Nation-state,Weak Passwords,Firewall,13
Germany,2018,SI657,Telecommunications,38.65 ," 3,68,222 ",Insider,Zero-day,VPN,56
Russia,2021,DD678,Retail,79.06 ," 3,68,255 ",Nation-state,Social Engineering,Encryption,17
Japan,2017,DD678,Telecommunications,73.27 ," 3,68,351 ",Nation-state,Zero-day,Antivirus,48
UK,2015,RWS34,Telecommunications,22.58 ,"  3,68,441  ",Hacker Group,Weak Passwords,AI-based Detection,71
UK,2024,MIM65,Retail,7.16 ," 3,68,618 ",Nation-state,Social Engineering,Firewall,22
Germany,2023,ML345,Government,70.46 ,"  3,68,803  ",Hacker Group,Unpatched Software,VPN,23
Japan,2020,PH01,Retail,38.96 ," 3,70,096 ",Nation-state,Weak Passwords,Encryption,23
UK,2021,ML345,Telecommunications,82.28 ," 3,70,146 ",Nation-state,Zero-day,VPN,55
Brazil,2015,ML345,IT,1.35 ,"  3,71,048  ",Hacker Group,Zero-day,VPN,56
China,2024,DD678,Healthcare,53.53 ," 3,71,685 ",Unknown,Social Engineering,VPN,34
Brazil,2020,PH01,Banking,34.50 ," 3,72,427 ",Insider,Weak Passwords,VPN,72
Brazil,2016,PH01,Government,35.94 ,"  3,72,653  ",Hacker Group,Weak Passwords,VPN,60
France,2017,RWS34,IT,93.15 ,"  3,72,975  ",Hacker Group,Weak Passwords,Firewall,64
Germany,2021,PH01,Healthcare,96.81 ,"  3,74,164  ",Hacker Group,Weak Passwords,Antivirus,53
China,2023,DD678,Government,53.46 ," 3,74,484 ",Unknown,Unpatched Software,Antivirus,46
India,2016,MIM65,IT,70.24 ," 3,74,767 ",Unknown,Unpatched Software,Antivirus,67
UK,2018,ML345,Healthcare,27.61 ,"  3,75,245  ",Hacker Group,Social Engineering,Firewall,20
UK,2021,PH01,Healthcare,1.35 ," 3,75,292 ",Unknown,Unpatched Software,Firewall,48
Brazil,2024,DD678,Healthcare,92.34 ," 3,75,691 ",Insider,Zero-day,Encryption,21
UK,2022,PH01,Education,36.15 ," 3,75,734 ",Nation-state,Weak Passwords,AI-based Detection,31
Brazil,2023,MIM65,Banking,20.15 ," 3,76,174 ",Unknown,Social Engineering,Firewall,43
France,2018,SI657,Healthcare,0.95 ," 3,76,206 ",Unknown,Unpatched Software,Antivirus,44
USA,2020,PH01,Healthcare,39.92 ," 3,76,443 ",Insider,Zero-day,Antivirus,20
UK,2024,PH01,Retail,89.31 ," 3,76,586 ",Unknown,Weak Passwords,AI-based Detection,51
Australia,2024,MIM65,Telecommunications,31.68 ," 3,76,612 ",Nation-state,Unpatched Software,VPN,27
